NWD_ID	HapMap_1000G_ID	SEQ_CTR	CRAM_URL	CRAI_URL
NWD490850	NA19238	UW	gs://topmed-irc-share/public/NWD490850.recab.cram	gs://topmed-irc-share/public/NWD490850.recab.cram.crai
NWD492101	HG01249	Baylor	gs://topmed-irc-share/public/NWD492101.recab.cram	gs://topmed-irc-share/public/NWD492101.recab.cram.crai
NWD495157	HG01111	Broad	gs://topmed-irc-share/public/NWD495157.recab.cram	gs://topmed-irc-share/public/NWD495157.recab.cram.crai
NWD496530	NA12878	Broad	gs://topmed-irc-share/public/NWD496530.recab.cram	gs://topmed-irc-share/public/NWD496530.recab.cram.crai
NWD502718	NA19238	NYGC	gs://topmed-irc-share/public/NWD502718.recab.cram	gs://topmed-irc-share/public/NWD502718.recab.cram.crai
NWD512755	NA12878	NYGC	gs://topmed-irc-share/public/NWD512755.recab.cram	gs://topmed-irc-share/public/NWD512755.recab.cram.crai
NWD518110	NA19238	UW	gs://topmed-irc-share/public/NWD518110.recab.cram	gs://topmed-irc-share/public/NWD518110.recab.cram.crai
NWD524030	NA19238	Baylor	gs://topmed-irc-share/public/NWD524030.recab.cram	gs://topmed-irc-share/public/NWD524030.recab.cram.crai
NWD535753	NA12878	Broad	gs://topmed-irc-share/public/NWD535753.recab.cram	gs://topmed-irc-share/public/NWD535753.recab.cram.crai
NWD548310	NA12878	Baylor	gs://topmed-irc-share/public/NWD548310.recab.cram	gs://topmed-irc-share/public/NWD548310.recab.cram.crai
NWD578417	NA12878	UW	gs://topmed-irc-share/public/NWD578417.recab.cram	gs://topmed-irc-share/public/NWD578417.recab.cram.crai
NWD578584	NA19238	Broad	gs://topmed-irc-share/public/NWD578584.recab.cram	gs://topmed-irc-share/public/NWD578584.recab.cram.crai
NWD580039	NA12878	Broad	gs://topmed-irc-share/public/NWD580039.recab.cram	gs://topmed-irc-share/public/NWD580039.recab.cram.crai
NWD585842	HG01110	Baylor	gs://topmed-irc-share/public/NWD585842.recab.cram	gs://topmed-irc-share/public/NWD585842.recab.cram.crai
NWD611564	NA19238	Baylor	gs://topmed-irc-share/public/NWD611564.recab.cram	gs://topmed-irc-share/public/NWD611564.recab.cram.crai
NWD614349	HG01111	WashU	gs://topmed-irc-share/public/NWD614349.recab.cram	gs://topmed-irc-share/public/NWD614349.recab.cram.crai
NWD626020	NA19238	UW	gs://topmed-irc-share/public/NWD626020.recab.cram	gs://topmed-irc-share/public/NWD626020.recab.cram.crai
NWD626736	NA19238	Broad	gs://topmed-irc-share/public/NWD626736.recab.cram	gs://topmed-irc-share/public/NWD626736.recab.cram.crai
NWD635737	HG01111	NYGC	gs://topmed-irc-share/public/NWD635737.recab.cram	gs://topmed-irc-share/public/NWD635737.recab.cram.crai
NWD651125	NA19238	Baylor	gs://topmed-irc-share/public/NWD651125.recab.cram	gs://topmed-irc-share/public/NWD651125.recab.cram.crai
NWD651283	NA19238	Baylor	gs://topmed-irc-share/public/NWD651283.recab.cram	gs://topmed-irc-share/public/NWD651283.recab.cram.crai
NWD651359	NA19238	NYGC	gs://topmed-irc-share/public/NWD651359.recab.cram	gs://topmed-irc-share/public/NWD651359.recab.cram.crai
NWD652050	NA12878	Broad	gs://topmed-irc-share/public/NWD652050.recab.cram	gs://topmed-irc-share/public/NWD652050.recab.cram.crai
NWD672633	NA19238	UW	gs://topmed-irc-share/public/NWD672633.recab.cram	gs://topmed-irc-share/public/NWD672633.recab.cram.crai
NWD677194	NA12878	Broad	gs://topmed-irc-share/public/NWD677194.recab.cram	gs://topmed-irc-share/public/NWD677194.recab.cram.crai
NWD684137	HG01249	Broad	gs://topmed-irc-share/public/NWD684137.recab.cram	gs://topmed-irc-share/public/NWD684137.recab.cram.crai
NWD697767	NA12878	Baylor	gs://topmed-irc-share/public/NWD697767.recab.cram	gs://topmed-irc-share/public/NWD697767.recab.cram.crai
NWD704221	NA12878	Broad	gs://topmed-irc-share/public/NWD704221.recab.cram	gs://topmed-irc-share/public/NWD704221.recab.cram.crai
NWD714003	NA12878	Broad	gs://topmed-irc-share/public/NWD714003.recab.cram	gs://topmed-irc-share/public/NWD714003.recab.cram.crai
NWD716220	NA19238	Broad	gs://topmed-irc-share/public/NWD716220.recab.cram	gs://topmed-irc-share/public/NWD716220.recab.cram.crai
NWD725484	NA12878	Broad	gs://topmed-irc-share/public/NWD725484.recab.cram	gs://topmed-irc-share/public/NWD725484.recab.cram.crai
NWD742333	NA19238	Baylor	gs://topmed-irc-share/public/NWD742333.recab.cram	gs://topmed-irc-share/public/NWD742333.recab.cram.crai
NWD746396	HG01249	WashU	gs://topmed-irc-share/public/NWD746396.recab.cram	gs://topmed-irc-share/public/NWD746396.recab.cram.crai
NWD754590	NA12878	Broad	gs://topmed-irc-share/public/NWD754590.recab.cram	gs://topmed-irc-share/public/NWD754590.recab.cram.crai
NWD759405	NA19238	Broad	gs://topmed-irc-share/public/NWD759405.recab.cram	gs://topmed-irc-share/public/NWD759405.recab.cram.crai
NWD760327	NA19238	Macrogen	gs://topmed-irc-share/public/NWD760327.recab.cram	gs://topmed-irc-share/public/NWD760327.recab.cram.crai
NWD761329	NA19238	Broad	gs://topmed-irc-share/public/NWD761329.recab.cram	gs://topmed-irc-share/public/NWD761329.recab.cram.crai
NWD762682	NA12878	NYGC	gs://topmed-irc-share/public/NWD762682.recab.cram	gs://topmed-irc-share/public/NWD762682.recab.cram.crai
NWD763972	NA19238	UW	gs://topmed-irc-share/public/NWD763972.recab.cram	gs://topmed-irc-share/public/NWD763972.recab.cram.crai
NWD768309	NA12878	Broad	gs://topmed-irc-share/public/NWD768309.recab.cram	gs://topmed-irc-share/public/NWD768309.recab.cram.crai
NWD768493	NA19238	Broad	gs://topmed-irc-share/public/NWD768493.recab.cram	gs://topmed-irc-share/public/NWD768493.recab.cram.crai
NWD769626	NA19238	Broad	gs://topmed-irc-share/public/NWD769626.recab.cram	gs://topmed-irc-share/public/NWD769626.recab.cram.crai
NWD778759	NA12878	UW	gs://topmed-irc-share/public/NWD778759.recab.cram	gs://topmed-irc-share/public/NWD778759.recab.cram.crai
NWD790783	NA12878	Baylor	gs://topmed-irc-share/public/NWD790783.recab.cram	gs://topmed-irc-share/public/NWD790783.recab.cram.crai
NWD791319	NA19238	Baylor	gs://topmed-irc-share/public/NWD791319.recab.cram	gs://topmed-irc-share/public/NWD791319.recab.cram.crai
NWD805667	NA19238	Macrogen	gs://topmed-irc-share/public/NWD805667.recab.cram	gs://topmed-irc-share/public/NWD805667.recab.cram.crai
NWD812009	NA12878	UW	gs://topmed-irc-share/public/NWD812009.recab.cram	gs://topmed-irc-share/public/NWD812009.recab.cram.crai
NWD821054	NA12878	Baylor	gs://topmed-irc-share/public/NWD821054.recab.cram	gs://topmed-irc-share/public/NWD821054.recab.cram.crai
NWD831422	NA12878	Broad	gs://topmed-irc-share/public/NWD831422.recab.cram	gs://topmed-irc-share/public/NWD831422.recab.cram.crai
NWD832275	NA19238	UW	gs://topmed-irc-share/public/NWD832275.recab.cram	gs://topmed-irc-share/public/NWD832275.recab.cram.crai
NWD841343	NA12878	Broad	gs://topmed-irc-share/public/NWD841343.recab.cram	gs://topmed-irc-share/public/NWD841343.recab.cram.crai
NWD842401	HG01111	Baylor	gs://topmed-irc-share/public/NWD842401.recab.cram	gs://topmed-irc-share/public/NWD842401.recab.cram.crai
NWD855893	NA19238	Baylor	gs://topmed-irc-share/public/NWD855893.recab.cram	gs://topmed-irc-share/public/NWD855893.recab.cram.crai
NWD866959	NA19238	Broad	gs://topmed-irc-share/public/NWD866959.recab.cram	gs://topmed-irc-share/public/NWD866959.recab.cram.crai
NWD875673	NA12878	Baylor	gs://topmed-irc-share/public/NWD875673.recab.cram	gs://topmed-irc-share/public/NWD875673.recab.cram.crai
NWD881320	NA12878	Baylor	gs://topmed-irc-share/public/NWD881320.recab.cram	gs://topmed-irc-share/public/NWD881320.recab.cram.crai
NWD886731	NA12878	Baylor	gs://topmed-irc-share/public/NWD886731.recab.cram	gs://topmed-irc-share/public/NWD886731.recab.cram.crai
NWD897509	NA19238	UW	gs://topmed-irc-share/public/NWD897509.recab.cram	gs://topmed-irc-share/public/NWD897509.recab.cram.crai
NWD901849	NA12878	NYGC	gs://topmed-irc-share/public/NWD901849.recab.cram	gs://topmed-irc-share/public/NWD901849.recab.cram.crai
NWD905240	NA12878	UW	gs://topmed-irc-share/public/NWD905240.recab.cram	gs://topmed-irc-share/public/NWD905240.recab.cram.crai
NWD909656	NA19238	NYGC	gs://topmed-irc-share/public/NWD909656.recab.cram	gs://topmed-irc-share/public/NWD909656.recab.cram.crai
NWD910953	NA12878	Baylor	gs://topmed-irc-share/public/NWD910953.recab.cram	gs://topmed-irc-share/public/NWD910953.recab.cram.crai
NWD918554	NA19238	UW	gs://topmed-irc-share/public/NWD918554.recab.cram	gs://topmed-irc-share/public/NWD918554.recab.cram.crai
NWD929194	NA12878	NYGC	gs://topmed-irc-share/public/NWD929194.recab.cram	gs://topmed-irc-share/public/NWD929194.recab.cram.crai
NWD952432	NA12878	Broad	gs://topmed-irc-share/public/NWD952432.recab.cram	gs://topmed-irc-share/public/NWD952432.recab.cram.crai
NWD953198	NA19238	NYGC	gs://topmed-irc-share/public/NWD953198.recab.cram	gs://topmed-irc-share/public/NWD953198.recab.cram.crai
NWD967078	NA19238	Baylor	gs://topmed-irc-share/public/NWD967078.recab.cram	gs://topmed-irc-share/public/NWD967078.recab.cram.crai
NWD968809	HG01110	WashU	gs://topmed-irc-share/public/NWD968809.recab.cram	gs://topmed-irc-share/public/NWD968809.recab.cram.crai
NWD991001	NA12878	NYGC	gs://topmed-irc-share/public/NWD991001.recab.cram	gs://topmed-irc-share/public/NWD991001.recab.cram.crai
